cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],pv_capacity_KF249[kW],pv_capacity_KF250[kW],pv_capacity_KF251[kW],pv_capacity_KG249[kW],pv_capacity_KG250[kW],pv_capacity_KG251[kW],pv_capacity_KG252[kW],pv_capacity_KG253[kW],pv_capacity_KH248[kW],pv_capacity_KH249[kW],pv_capacity_KH250[kW],pv_capacity_KH251[kW],pv_capacity_KH252[kW],pv_capacity_KH253[kW],pv_capacity_KH254[kW],pv_capacity_KI248[kW],pv_capacity_KI249[kW],pv_capacity_KI250[kW],pv_capacity_KI251[kW],pv_capacity_KI252[kW],pv_capacity_KI253[kW],pv_capacity_KI254[kW],pv_capacity_KI255[kW],pv_capacity_KI256[kW],pv_capacity_KJ248[kW],pv_capacity_KJ249[kW],pv_capacity_KJ250[kW],pv_capacity_KJ251[kW],pv_capacity_KJ252[kW],pv_capacity_KJ253[kW],pv_capacity_KJ254[kW],pv_capacity_KJ255[kW],pv_capacity_KJ256[kW],pv_capacity_KJ257[kW],pv_capacity_KK248[kW],pv_capacity_KK249[kW],pv_capacity_KK250[kW],pv_capacity_KK251[kW],pv_capacity_KK252[kW],pv_capacity_KK253[kW],pv_capacity_KK254[kW],pv_capacity_KK255[kW],pv_capacity_KK256[kW],pv_capacity_KK257[kW],pv_capacity_KK258[kW],pv_capacity_KK259[kW],pv_capacity_KL254[kW],pv_capacity_KL255[kW],pv_capacity_KL256[kW],pv_capacity_KL257[kW],pv_capacity_KL258[kW],pv_capacity_KL259[kW],wind_capacity_KF249[kW],wind_capacity_KF250[kW],wind_capacity_KF251[kW],wind_capacity_KG249[kW],wind_capacity_KG250[kW],wind_capacity_KG251[kW],wind_capacity_KG252[kW],wind_capacity_KG253[kW],wind_capacity_KH248[kW],wind_capacity_KH249[kW],wind_capacity_KH250[kW],wind_capacity_KH251[kW],wind_capacity_KH252[kW],wind_capacity_KH253[kW],wind_capacity_KH254[kW],wind_capacity_KI248[kW],wind_capacity_KI249[kW],wind_capacity_KI250[kW],wind_capacity_KI251[kW],wind_capacity_KI252[kW],wind_capacity_KI253[kW],wind_capacity_KI254[kW],wind_capacity_KI255[kW],wind_capacity_KI256[kW],wind_capacity_KJ248[kW],wind_capacity_KJ249[kW],wind_capacity_KJ250[kW],wind_capacity_KJ251[kW],wind_capacity_KJ252[kW],wind_capacity_KJ253[kW],wind_capacity_KJ254[kW],wind_capacity_KJ255[kW],wind_capacity_KJ256[kW],wind_capacity_KJ257[kW],wind_capacity_KK248[kW],wind_capacity_KK249[kW],wind_capacity_KK250[kW],wind_capacity_KK251[kW],wind_capacity_KK252[kW],wind_capacity_KK253[kW],wind_capacity_KK254[kW],wind_capacity_KK255[kW],wind_capacity_KK256[kW],wind_capacity_KK257[kW],wind_capacity_KK258[kW],wind_capacity_KK259[kW],wind_capacity_KL254[kW],wind_capacity_KL255[kW],wind_capacity_KL256[kW],wind_capacity_KL257[kW],wind_capacity_KL258[kW],wind_capacity_KL259[kW]
100,KF250,1869334676.153127,2.77160539563281,0.0,13442897.04982713,23431316.95124815,1756179.548433573,66698640.00000054,0.0,720798.7694277283,626505.8008355121,1705028.687799585,0.0,0.0,0.0,0.0,1048762209.5173446,668481689.4914914,78325053.85656232,0.0,0.0,2.115,50522616.72423369,23494896.80571452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343252.0,281892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95654.76942772836,0.0,-1.316915079405175e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,KJ256,1985712905.244598,2.935716018860972,0.0,13339579.21873282,23252109.28630143,3880773.490163506,66698640.00000054,0.0,715258.9393422427,621714.1520401451,3767741.252585928,0.0,0.0,0.0,0.0,1040701756.7429631,663369000.2268349,173081273.43431097,0.0,0.0,2.115,97212066.39203973,2862630.920644666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303314.9393422427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,User,1931692164.451385,2.869434389509897,0.0,13637436.66751936,23768751.35397416,2871244.706652374,66698640.00000054,0.0,731229.8481243626,635528.1110688278,2787616.220050848,0.0,0.0,0.0,0.0,1063939429.0209477,678108494.5104393,128056608.15519007,0.0,0.0,2.115,61581151.77086201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.809967376731339e-11,0.0,0.0,0.0,0.0,0.0,-9.7993221076163e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224385.8481243628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
