pipe_storage_level,ug_storage_level,wind_output,curtail_p,bat_pin,el_pin_pvwind,el_pin,comp1_pin,comp2_pin,pipe_storage_hout,ug_storage_hout,comp1_hflow,comp2_hflow,LOAD
0.0,700333.6676928172,289046.7087546791,0.0,0.0,289046.7087546791,284846.3101206662,4200.398634012869,0.0,1.405755901610733,0.7092440983892674,1.405755901610733,0.0,2.115
0.0,697780.3889386166,168593.7558423403,0.0,0.0,168593.7558423403,166143.7677944075,2449.98804793276,0.0,0.8199424524540697,1.29505754754593,0.8199424524540697,0.0,2.115
0.0,693118.1817674512,134850.3020501957,0.0,0.0,134850.3020501957,132890.670587972,1959.63146222368,0.0,0.6558338226986881,1.459166177301312,0.6558338226986881,0.0,2.115
0.0,687865.1835291665,118484.493656641,0.0,0.0,118484.493656641,116762.6885288426,1721.805127798415,0.0,0.5762400026099112,1.538759997390089,0.5762400026099112,0.0,2.115
0.0,682325.6475385622,61391.93838592314,0.0,0.0,61391.93838592314,60499.79671357324,892.1416723498997,0.0,0.2985748568774765,1.816425143122524,0.2985748568774765,0.0,2.115
0.0,675786.5170233211,7493.964901206747,0.0,0.0,7493.964901206747,7385.063332771712,108.9015684350346,0.0,0.03644630804385363,2.078553691956146,0.03644630804385363,0.0,2.115
0.0,668303.7237322789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,660689.7237322789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,653075.7237322789,29598.00045576082,0.0,0.0,29598.00045576082,29167.88519439174,430.1152613690761,0.0,0.1439475439655543,1.971052456034446,0.1439475439655543,0.0,2.115
0.0,645979.9348905549,38733.20810623939,0.0,0.0,38733.20810623939,38170.34089657167,562.8672096677194,0.0,0.188375906849973,1.926624093150027,0.188375906849973,0.0,2.115
0.0,639044.0881552148,30328.0696907511,0.0,0.0,30328.0696907511,29887.34513432864,440.7245564224605,0.0,0.1474981781869011,1.967501821813099,0.1474981781869011,0.0,2.115
0.0,631961.0815966877,27968.01439632501,0.0,0.0,27968.01439632501,27561.58593369864,406.4284626263682,0.0,0.136020235149387,1.978979764850613,0.136020235149387,0.0,2.115
0.0,624836.7544432255,58957.11757587353,0.0,0.0,58957.11757587353,58100.35848251462,856.7590933589087,0.0,0.2867332976435437,1.828266702356456,0.2867332976435437,0.0,2.115
0.0,618254.9943147422,153236.4350273989,0.0,0.0,153236.4350273989,151009.6180705715,2226.816956827462,0.0,0.7452533322715738,1.369746667728426,0.7452533322715738,0.0,2.115
0.0,613323.9063109198,321299.3582323123,0.0,0.0,321299.3582323123,316630.2672357646,4669.090996547697,0.0,1.562614122003914,0.5523858779960857,1.562614122003914,0.0,2.115
0.0,611335.3171501339,610209.4828384668,0.0,0.0,610209.4828384668,600110.5140517431,8849.345397565045,1249.623389158636,2.115,0.0,2.9616283124381,0.8466283124381003,2.115
0.0,614383.179074911,877365.0860605992,32695.2812942958,0.0,844669.8047663034,829516.9083091377,12232.21633826418,2920.680118901585,2.115,0.0,4.093780568361508,1.978780568361508,2.115
0.0,621506.7891210124,877365.0860605992,32695.2812942958,0.0,844669.8047663034,829516.9083091377,12232.21633826418,2920.680118901585,2.115,0.0,4.093780568361508,1.978780568361508,2.115
0.0,628630.3991671138,877365.0860605992,32695.2812942958,0.0,844669.8047663034,829516.9083091377,12232.21633826418,2920.680118901585,2.115,0.0,4.093780568361508,1.978780568361508,2.115
0.0,635754.0092132152,877365.0860605992,32695.2812942958,0.0,844669.8047663034,829516.9083091377,12232.21633826418,2920.680118901585,2.115,0.0,4.093780568361508,1.978780568361508,2.115
0.0,642877.6192593166,647071.8155071193,0.0,0.0,647071.8155071193,636178.257846938,9381.207304798756,1512.350355382518,2.115,0.0,3.139627612047776,1.024627612047776,2.115
0.0,646566.2786626888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,638952.2786626888,40676.72663933756,0.0,0.0,40676.72663933756,40085.61640754108,591.1102317964813,0.0,0.1978280561567876,1.917171943843213,0.1978280561567876,0.0,2.115
0.0,632050.4596648533,87686.76034083932,0.0,0.0,87686.76034083932,86412.50487554261,1274.255465296707,0.0,0.4264576523750693,1.688542347624931,0.4264576523750693,0.0,2.115
0.0,625971.7072134035,875220.975287837,30551.17052153358,0.0,844669.8047663034,829516.9083091377,12232.21633826418,2920.680118901585,2.115,0.0,4.093780568361508,1.978780568361508,2.115
0.0,633095.3172595049,877365.0860605992,32695.2812942958,0.0,844669.8047663034,829516.9083091377,12232.21633826418,2920.680118901585,2.115,0.0,4.093780568361508,1.978780568361508,2.115
0.0,640218.9273056063,720931.097335152,0.0,0.0,720931.097335152,708445.4601918394,10446.87341044312,2038.76373286949,2.115,0.0,3.496276241781497,1.381276241781497,2.115
0.0,645191.5217760197,609477.4313788873,0.0,0.0,609477.4313788873,599394.2423842297,8838.783117391817,1244.405877265836,2.115,0.0,2.958093412781732,0.8430934127817318,2.115
0.0,648226.6580620339,552629.3856290622,0.0,0.0,552629.3856290622,543771.5890976719,8018.560742785467,839.2357886048685,2.115,0.0,2.683587932659125,0.568587932659125,2.115
0.0,650273.5746196068,391177.9301071494,0.0,0.0,391177.9301071494,385493.3705065328,5684.559600616637,0.0,1.902463052415207,0.2125369475847936,1.902463052415207,0.0,2.115
0.0,649508.4416083016,293677.56879459,0.0,0.0,293677.56879459,289409.874953274,4267.693841316045,0.0,1.428277724670698,0.6867222753293025,1.428277724670698,0.0,2.115
0.0,647036.2414171161,296601.9554178562,0.0,0.0,296601.9554178562,292291.7646748088,4310.190743047307,0.0,1.442500248677145,0.6724997513228557,1.442500248677145,0.0,2.115
0.0,644615.2423123538,452914.4471168796,0.0,0.0,452914.4471168796,446206.0636834473,6579.840685281291,128.5427481509993,2.115,0.0,2.20208858275813,0.08708858275812961,2.115
0.0,644928.761210283,340219.4552452115,0.0,0.0,340219.4552452115,335275.4192406726,4944.036004538852,0.0,1.65463052360738,0.4603694763926198,1.65463052360738,0.0,2.115
0.0,643271.4310952696,465730.1654120546,0.0,0.0,465730.1654120546,458745.531768028,6764.750100437164,219.8835435894422,2.115,0.0,2.263972590507752,0.1489725905077522,2.115
