,cf,capex[USD],lcoh[USD/kg],fom[USD],hy[kg],pv_capacity[kW],wind_capacity[kW],pv_capacity_array[kW],wind_capacity_array[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD]
1,80,2180418453.4198,3.40848531114644,51652282.60306,654857079.396393,0.000001,770629.57393883,[1.e-06],[770629.57393883],669606.710199708,574121.694294822,-4.18128508734327E-06,-6.65143958837383E-08,6.05175747072791E-08,0.0011227,1121266030.081,714470359.783088,50491678.6974955,-0.00215754310506913,1.18614446426267E-05,2.115,294188060.543509
2,80,1917161624.72692,3.00067183475606,47849569.208451,654857079.396393,0,713683.97056545,[0.],[713683.97056545],620351.890719917,354940.689290071,-1.98071547061999E-06,-7.64266262471962E-08,-2.14503053357132E-09,0,1038410177.17273,661915467.398151,31215596.6555391,-0.00102204918283991,-4.2042598457998E-07,2.115,185618946.534013
3,80,1671392888.24897,2.61547773471088,41371222.3300887,654857079.396393,0.000001,616670.777085021,[1.e-06],[616670.77708502],536440.805864638,171407.534066693,0,0,0,0.0011227,897255980.658705,572382339.857569,15074598.6825246,0,0,2.115,186679275.11041
4,80,1665963828.95382,2.61224721801172,44684754.8946904,654857079.396393,0,666290.901251978,[0.],[666290.90125198],579359.488250299,211587.384455733,-3.93700710192783E-06,-6.0028985071711E-08,-3.71654909243526E-09,0,969453261.321628,618176573.963069,18608253.8572322,-0.00203149566459476,-7.28443622117312E-07,2.115,59724883.2082814
5,80,1637721472.78565,2.56932011361434,44815992.8502436,654857079.396393,0.000001,668256.188435592,[1.e-06],[668256.18843559],581059.353918072,216877.48555568,-7.0052006016201E-06,-1.22096300396975E-07,-6.87253049025779E-08,0.0011227,972312754.173786,619990330.630583,19073496.8321452,-0.00361468351043597,-1.34701597609053E-05,2.115,26344013.1292038
6,80,1657098196.90954,2.59321498806726,41086996.4231358,654857079.396393,0,612414.496409876,[0.],[612414.49640988],532759.356769764,166789.299835323,0,0,0,0,891063092.276369,568454233.673338,14668443.6786686,0,0,2.115,182911752.039317
7,80,1673789264.73763,2.62093520107089,42548706.3228526,654857079.396393,-1.08911623834088E-08,634303.590597621,[-1.08911624e-08],[634303.59059762],551692.221248114,199706.741494322,0,7.70399011416532E-08,-1.18905931125147E-07,-1.22275080078531E-05,922911724.319538,588655600.071738,17563399.4072292,0,-2.33055625005288E-05,2.115,144657732.431972
,80,1769338778.6083,2.77554446130843,48246161.0589711,654857079.396393,-2.71945302161445E-07,719622.930563331,"[ 1.0000000e-06  1.0000000e-06  1.0000000e-06  1.0000000e-06  -6.2719453e-06  1.0000000e-06  1.0000000e-06]","[1.00000000e-06 1.00000000e-06 1.00000000e-06 1.00000000e-06  7.19622931e+05 1.00000000e-06 1.00000000e-06]",625488.764807978,301556.661637618,-4.77106326328186E-07,-3.34168880230512E-08,-5.18902517663043E-08,-0.000305312990736655,1047051363.96965,667396512.050112,26520687.5472591,-0.000246186864385344,-1.01704893461956E-05,2.115,28368994.1980959
