cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],LCOH-wind,LCOH-el,LCOH-UG,LCOH-pipe-storage,LCOH-trans,LCOH-pipe
100,User,2427286042.760192,3.464942152759375,0.0,15008599.10618597,26219708.87395142,0.0,66698640.00000054,0.0,804750.6223156018,701061.7345976317,0.0,878303.5817727083,0.0,0.0,0.0,1170912155.4692006,748032870.8156731,0.0,453204648.1947175,0.0,2.115,55136368.28060058,0.0,1.5983116648765339,1.2704286844944173,0.0,0.5315357600517886,0.06466604333663574,0.0
100,User,2575658954.420539,3.664813561492583,0.0,15636352.40439959,27316380.76233839,0.0,66698640.00000054,0.0,838410.3165897906,730384.512361989,0.0,997266.8318944932,0.0,0.0,0.0,1219887010.6381454,779320274.6902423,0.0,514589685.25755847,0.0,2.115,61861983.83459299,0.0,1.665163035354276,1.323565942088822,0.0,0.6035304813349335,0.07255410271455179,0.0
100,User,2832069139.987784,3.999880187448373,0.0,16470126.83400013,28772967.26025215,0.0,66698640.00000054,0.0,883116.720321723,769330.6754078115,0.0,1192842.423872165,0.0,0.0,0.0,1284934828.068107,820875830.6601349,0.0,615506690.7180371,0.0,2.115,110751790.5415053,0.0,1.7539542268091175,1.3941422126833185,0.0,0.7218898084364053,0.12989393951953224,0.0
100,User,3174329631.530553,4.448528272919267,0.0,17616951.03768062,30776445.16897383,0.0,66698640.00000054,0.0,944608.6347281835,822899.6034484983,0.0,1441473.83811755,0.0,0.0,0.0,1374405563.529507,878033876.8795477,0.0,743800500.4686557,0.0,2.115,178089690.6528422,0.0,1.8760830470498937,1.4912171198162338,0.0,0.8723576995919168,0.20887040646122337,0.0
100,User,2957048358.702931,4.10139882093675,0.0,15375994.24934701,26861540.50841861,0.0,66698640.00000054,0.0,824450.0937987674,718223.008246487,0.0,1300496.469187626,0.0,0.0,0.0,1199574886.4772067,766343949.7990017,0.0,671056178.1008149,0.0,2.115,320073344.3259075,0.0,1.6374366983842414,1.3015274782668047,0.0,0.787040373670251,0.37539427061545333,0.0
100,User,2806219034.471883,3.903763159961577,0.0,14872478.67450287,25981909.32548746,0.0,66698640.00000054,0.0,797451.9396516284,694703.4579007344,0.0,1253478.255180051,0.0,0.0,0.0,1160292572.1931193,741248589.5800836,0.0,646794779.6729064,0.0,2.115,257883093.0257739,0.0,1.5838157833989972,1.2589065364423246,0.0,0.7585856768690015,0.30245516325125493,0.0
100,User,2661378765.068943,3.741088589491876,0.0,15047291.19071328,26287303.13673736,0.0,66698640.00000054,0.0,806825.2649176022,702869.0678272021,0.0,1021593.270549288,0.0,0.0,0.0,1173930760.4551113,749961295.3716247,0.0,527142127.6034326,0.0,2.115,210344581.6387739,0.0,1.6024321034065292,1.2737038425353908,0.0,0.6182524662249778,0.24670017732497823,0.0
100,User,2602561669.948643,3.668814436630406,0.0,14967378.17738761,26147696.77309109,0.0,66698640.00000054,0.0,802540.3848465206,699136.2773553767,0.0,1025511.812007522,0.0,0.0,0.0,1167696259.9516876,745978407.938187,0.0,529164094.9958813,0.0,2.115,159722907.0628866,0.0,1.5939219219785232,1.266939468080784,0.0,0.6206239069836422,0.18732913958745712,0.0
100,User,2512063641.968287,3.550796412335813,0.0,14678960.26260228,25643836.70552578,0.0,66698640.00000054,0.0,787075.6172977093,685664.0830354487,0.0,1004295.794439664,-8.050944670406795e-11,4.237339300214103e-11,0.0,1145195023.168167,731603576.5988238,0.0,518216629.9308666,8.305185028419643e-09,2.115,117048412.2704299,0.0,1.5632074152947673,1.2425258376364656,0.0,0.607784300887032,0.13727885851754867,0.0
100,User,2474188247.6977,3.513308349298104,0.0,14847314.28280072,25937947.65926184,0.0,66698640.00000054,0.0,796102.6425094221,693528.0122797284,0.0,931363.5761285963,0.0,0.0,0.0,1158329344.8512092,739994389.1024703,0.0,480583605.2823557,0.0,2.115,95280908.4616648,0.0,1.5811359502904903,1.256776453226691,0.0,0.5636468489891432,0.11174909679177958,0.0
100,User,2578202180.486981,3.674174769772427,0.0,15791224.94531119,27586939.85359946,0.0,66698640.00000054,0.0,846714.4742794206,737618.7126630871,0.0,881271.8581623931,0.0,0.0,0.0,1231969560.076557,787039166.4115139,0.0,454736278.8117948,0.0,2.115,104457175.1871154,0.0,1.6816558863496796,1.336675394678141,0.0,0.5333321150702327,0.12251137367437394,0.0
100,User,2753690541.085633,3.901994083021169,0.0,16325397.13044352,28520127.49380763,0.0,66698640.00000054,0.0,875356.4145009933,762570.2538451238,0.0,1019758.788062751,0.0,0.0,0.0,1273643583.0989454,813662460.8527471,0.0,526195534.6403795,0.0,2.115,140188962.4935614,0.0,1.738541517614073,1.3818913180064858,0.0,0.6171422657623824,0.16441898163822802,0.0
100,User,2976060316.802938,4.193467851365206,0.0,17070086.51103166,29821084.27347779,0.0,66698640.00000054,0.0,915286.1400016977,797355.1944780159,0.0,1159044.962196896,0.0,0.0,0.0,1331741333.70247,850777992.5080429,0.0,598067200.4935983,0.0,2.115,195473790.0988276,0.0,1.8178457694821322,1.4449268314107726,0.0,0.7014361067184561,0.2292591437538464,0.0
100,User,3265342241.015916,4.572027695183116,0.0,18023807.33742785,31487214.61903587,-3.198759414528201e-11,66698640.00000054,0.0,966423.9859210643,841904.1341988202,-3.105591664590487e-11,1352131.739549933,0.0,0.0,0.0,1406146899.5151486,898311711.1901412,-1.602485298928691e-08,697699977.6077654,0.0,2.115,263183652.7028602,0.0,1.9194104199255193,1.525656171056739,-1.927414492006636e-17,0.8182892416551832,0.30867186254567486,0.0
100,User,3095907912.429235,4.286804538468144,0.0,15923425.43665849,27817891.34824567,0.0,66698640.00000054,0.0,853802.9724749862,743793.886316729,0.0,1379877.549069327,0.0,0.0,0.0,1242283324.9511049,793628076.6999499,0.0,712016815.3197727,0.0,2.115,347979695.4584076,0.0,1.6957343213806821,1.3478657326386394,0.0,0.8350805769715862,0.408123907477237,0.0
100,User,2978305286.855783,4.133583278215045,0.0,15552114.92020475,27169219.63848955,0.0,66698640.00000054,0.0,833893.5614050804,726449.7229542661,0.0,1358265.923327553,0.0,0.0,0.0,1213315131.8443918,775121854.3922019,0.0,700865216.4370174,0.0,2.115,289003084.1821728,0.0,1.6561923277848414,1.3164355153598764,0.0,0.8220015549192984,0.33895388015103056,0.0
100,User,2698369553.752571,3.782147578213022,0.0,14990833.06343911,26188671.96868337,0.0,66698640.00000054,0.0,803798.0194873518,700231.8708204109,0.0,1064385.640965597,0.0,0.0,0.0,1169526118.354097,747147406.1653785,0.0,549222990.7382481,0.0,2.115,232473038.4948471,0.0,1.5964197045969564,1.268924847250456,0.0,0.6441497477637165,0.2726532786018931,0.0
100,User,2664460477.188641,3.728311200425722,0.0,14649287.90728386,25591999.72110445,0.0,66698640.00000054,0.0,785484.606288679,684278.06740921,0.0,1177146.830066486,0.0,0.0,0.0,1142880102.1500278,730124697.9256271,0.0,607407764.3143067,0.0,2.115,184047912.7986797,0.0,1.5600475153404645,1.2400141700873277,0.0,0.7123910775236527,0.21585843747427788,0.0
100,User,2644720201.524393,3.722170344351062,0.0,15062334.45559536,26313583.4059971,0.0,66698640.00000054,0.0,807631.8742946577,703571.7488234519,0.0,1089917.099345568,0.0,0.0,0.0,1175104377.098727,750711055.9946232,0.0,562397223.2623131,0.0,2.115,156507545.1687296,0.0,1.6040341067360042,1.2749772055641075,0.0,0.659600991976837,0.1835580400741132,0.0
100,User,2664037375.816452,3.743005081255451,0.0,15018114.77661359,26236332.55125717,0.0,66698640.00000054,0.0,805260.8459310237,701506.2179480527,0.0,1172504.043610728,0.0,0.0,0.0,1171654530.8296394,748507134.5505722,0.0,605012086.5031357,0.0,2.115,138863623.9331049,0.0,1.5993250177508416,1.2712341547836767,0.0,0.7095813348802964,0.16286457384063738,0.0
100,User,2697876383.843097,3.792923973656693,0.0,15266535.92018551,26670319.09567125,0.0,66698640.00000054,0.0,818581.0144871589,713110.1362478945,0.0,1164286.141877723,0.0,0.0,0.0,1191035376.0788162,760888515.3765035,0.0,600771649.208905,0.0,2.115,145180843.178872,0.0,1.6257801458253407,1.292262189738558,0.0,0.7046079876979161,0.17027365039487857,0.0
100,User,2721860338.111783,3.821053273327459,0.0,15266535.92018551,26670319.09567125,0.0,66698640.00000054,0.0,818581.0144871589,713110.1362478944,0.0,1164286.141877723,0.0,0.0,0.0,1191035376.0788162,760888515.3765033,0.0,600771649.208905,0.0,2.115,169164797.4475583,0.0,1.6257801458253407,1.2922621897385576,0.0,0.7046079876979161,0.19840295006564507,0.0
100,User,2885707480.487018,4.058768297252157,0.0,16372494.30666262,28602405.2760652,0.0,66698640.00000054,0.0,877881.7322607305,764770.1945471978,0.0,1106928.862353705,-1.105945557355881e-10,0.0,0.0,1277317920.4393628,816009797.5818601,0.0,571175292.9745119,0.0,2.115,221204469.4912838,0.0,1.7435570400889655,1.3858779394895508,0.0,0.6698962481593296,0.259437069514312,0.0
100,User,3467632426.963941,4.858168389465443,0.0,19210819.56869381,33560900.17179244,0.0,66698640.00000054,0.0,1030070.754353555,897350.2719730599,0.0,1353497.419951551,0.0,0.0,0.0,1498752947.5844226,957472740.1952549,0.0,698404668.6950003,0.0,2.115,313002070.4892623,0.0,2.045818986252108,1.626132862903645,0.0,0.8191157303378284,0.367100809971862,0.0
100,User,4151081514.617528,5.696079823213687,3512748.412975129,18814320.54324768,32868224.66340885,0.0,66698640.00000054,276594.3632263881,1008810.752989152,878829.5364547821,0.0,1886441.075979764,0.0,0.0,310532491.59426594,1467819645.5992162,937711115.3972526,0.0,973403595.2055583,0.0,2.115,461614666.8212361,0.0,2.0035945912236937,1.5925705209597372,0.0,1.141644998293203,0.5413993518320205,0.0
100,User,4585218777.038908,6.27427658074733,4464868.970319255,20143665.76367133,35190562.97265992,0.0,66698640.00000054,351564.4858519098,1080089.317086935,940924.1436540084,0.0,1960224.802256261,0.0,0.0,394701448.2659391,1571529956.3614905,1003966061.278827,0.0,1011475997.9642307,0.0,2.115,603545313.1684208,0.0,2.1451606332918884,1.7050952334710927,0.0,1.1862977696580594,0.70786104696534,0.0
100,User,2830681880.165865,3.959324030901477,0.0,15524899.50865523,27121674.88346849,0.0,66698640.00000054,0.0,832434.2900083234,725178.4728200131,0.0,1267299.385407323,0.0,1.308941879427614e-10,0.0,1211191891.9621105,773765430.4989539,0.0,653926482.8701787,2.5655260836781232e-08,2.115,191798074.8346223,0.0,1.6532940752939689,1.3141318200417322,0.0,0.7669500113799689,0.22494812418580812,0.0
100,User,2897602180.645603,4.049206372094008,0.0,15801594.16236141,27605054.65901094,0.0,66698640.00000054,0.0,847270.4644697808,738103.0657489556,0.0,1283168.722852509,0.0,0.0,0.0,1232778525.8035312,787555971.1541356,0.0,662115060.9918946,0.0,2.115,215152622.6960423,0.0,1.6827601360168036,1.3375531148892772,0.0,0.7765538892594378,0.25233923192849,0.0
100,User,2961757060.562867,4.144404242067129,0.0,16286105.58351227,28451485.98273414,0.0,66698640.00000054,0.0,873249.6291427489,760734.9193244424,0.0,1209810.685891465,0.0,0.0,0.0,1270578210.4026997,811704158.91918,0.0,624262313.919996,0.0,2.115,255212377.3209907,0.0,1.7343572404975371,1.37856541743932,0.0,0.7321587384924376,0.2993228456378348,0.0
100,User,3272662453.055455,4.556135056927559,0.0,17429462.25286267,30448906.18147223,0.0,66698640.00000054,0.0,934555.6167754784,814141.8765099528,0.0,1412469.577693388,-1.535679933832672e-11,7.29447968570519e-12,0.0,1359778422.408321,868689382.2361196,0.0,728834302.0897883,1.4297180183982174e-09,2.115,315360346.321226,0.0,1.856116792392286,1.475346809165085,0.0,0.8548047692279297,0.3698666861422582,0.0
100,User,3987950183.985835,5.57688024780318,0.0,21844386.36885323,38161686.31523893,0.0,66698640.00000054,0.0,1171280.770447894,1020365.944257725,0.0,1425370.566353544,0.0,0.0,0.0,1704213521.0016859,1088730462.5229926,0.0,735491212.2384286,0.0,2.115,459514988.222727,0.0,2.326275576980251,1.8490556541504108,0.0,0.8626122482764096,0.5389367683961076,0.0
100,User,4520758734.098298,6.141333905411117,6920635.00754665,17857385.50840068,31196479.16288232,0.0,66698640.00000054,544931.890358004,957500.5634531196,834130.4589005967,0.0,1837275.427099988,0.0,0.0,611795033.3049312,1393163319.824289,890017199.6469367,0.0,948034120.3835939,0.0,2.115,677749060.9385469,0.0,1.9016876498826722,1.511569109111364,0.0,1.1118907070799013,0.7948900428655302,0.0
