cf,candidate_locations,lat,long,capex[USD],lcoh[USD/kg],fom[USD],hy[kg],pv_capacity[kW],wind_capacity[kW],pv_capacity_array[kW],wind_capacity_array[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD]
90,7,-40.65,144.97,1808617705,2.831319059,45491625.06,654857079.4,0,678373.7757,[-0.],[678373.77567275],589810.5111,426921.8257,0,0,0,0,987033843.6,629327815.3," 14,176,231.46 ",0,0,2.115,154708271.5
100,1,-41.2,146.07,3010671750,4.691009455,61269000.77,654857079.4,0,914639.8529,[0.],[914639.85290197],794167.6929,5495506.654,0,2.49E-10,0,0,1330800986,847376928.4," 123,696,601.90 ",0,0,2.115,349164025.8
100,2,-41.09,145.85,2549337393,3.978168274,55794263.82,654857079.4,0,832655.7101,[-0.],[832655.71011213],723255.9117,3974388.752,0,0,0,0,1211514058,771714057.8," 89,458,245.45 ",0,0,2.115,216561786.6
100,3,-40.98,144.75,2142232236,3.346172783,49032700.37,654857079.4,0,731401.3505,[0.],[731401.35054656],635676.4512,2028036.987,0,0,0,0,1064188965,678266773.5," 45,648,435.99 ",0,0,2.115,221410644.1
100,4,-40.87,145.19,2098314273,3.283963618,52212550.65,654857079.4,0,779019.5835,[0.],[779019.58352696],676863.6077,1964726.208,0,7.04E-11,0,0,1133473494,722213469.5," 44,223,393.93 ",0,0,2.115,69829639.81
100,5,-40.87,145.3,2063696919,3.233371979,53699611.63,654857079.4,0,801288.3101,[-0.],[801288.31009469],696124.8333,1403852.439,0,0,0,0,1165874491,742765197.1," 31,598,865.62 ",0,0,2.115,31588408.95
100,6,-40.76,144.75,2129126354,3.326706671,49391061.24,654857079.4,0,736767.8019,[0.],[736767.80185289],640318.1369,1749369.042,0,-2.70E-11,0,0,1071997152,683219452.1," 39,375,988.35 ",0,0,2.115,220052742.5
100,7,-40.65,144.97,2126694890,3.324796786,50571823.05,654857079.4,0,754449.7006,[0.],[754449.70055311],655612.0083,1789364.425,0,9.12E-11,0,0,1097724314,699538012.8," 40,276,231.62 ",0,0,2.115,172057961.7
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
