pipe_storage_level,ug_storage_level,wind_output,curtail_p,bat_pin,el_pin_pvwind,el_pin,comp1_pin,comp2_pin,pipe_storage_hout,ug_storage_hout,comp1_hflow,comp2_hflow,LOAD
7899.32730100104,0.0,666184.5105088259,-1.164153218269348e-10,0.0,666184.510508826,656503.5820526687,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
11949.09652528703,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.92845615737,0.0,2.115,0.0,3.239935895634997,0.0,2.115
15998.86574957302,0.0,666184.5105088259,666184.5105088259,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,0.0,2.115
8384.865749573019,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.92845615737,0.0,2.115,0.0,3.239935895634997,0.0,2.115
12434.63497385901,0.0,666184.5105088259,-1.164153218269348e-10,0.0,666184.510508826,656503.5820526687,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
16484.404198145,0.0,666184.5105088259,-1.164153218269348e-10,0.0,666184.510508826,656503.5820526687,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
20534.17342243098,0.0,666184.5105088259,-1.164153218269348e-10,0.0,666184.510508826,656503.5820526687,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
24583.94264671697,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.92845615737,0.0,2.115,0.0,3.239935895634997,0.0,2.115
28633.71187100296,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
32683.48109528895,0.0,666184.5105088259,-1.164153218269348e-10,0.0,666184.510508826,656503.5820526687,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
36733.25031957494,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
40783.01954386092,0.0,666184.5105088259,657387.4271895188,0.0,8797.083319307096,8669.244960873904,127.8383584331913,0.0,2.115,0.0,0.042783921831724,0.0,2.115
33323.04166245513,0.0,666184.5105088259,-1.164153218269348e-10,0.0,666184.510508826,656503.5820526687,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
37372.81088674112,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.92845615737,0.0,2.115,0.0,3.239935895634997,0.0,2.115
41422.58011102711,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
45472.34933531309,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.92845615737,0.0,2.115,0.0,3.239935895634996,0.0,2.115
49522.11855959908,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.92845615737,0.0,2.115,0.0,3.239935895634997,0.0,2.115
53571.88778388506,0.0,666184.5105088259,-1.164153218269348e-10,0.0,666184.510508826,656503.5820526687,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
57621.65700817105,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
61671.42623245704,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.92845615737,0.0,2.115,0.0,3.239935895634997,0.0,2.115
65721.19545674302,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
69770.96468102901,0.0,666184.5105088259,-1.164153218269348e-10,0.0,666184.510508826,656503.5820526687,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
73820.733905315,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
77870.503129601,0.0,666184.5105088259,666184.5105088259,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,0.0,2.115
70256.503129601,0.0,666184.5105088259,666184.5105088259,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,0.0,2.115
62642.50312960099,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.92845615737,0.0,2.115,0.0,3.239935895634997,0.0,2.115
66692.27235388698,0.0,666184.5105088259,666184.5105088259,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,0.0,2.115
59078.27235388697,0.0,666184.5105088259,-1.164153218269348e-10,0.0,666184.510508826,656503.5820526687,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
63128.04157817296,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.92845615737,0.0,2.115,0.0,3.239935895634997,0.0,2.115
67177.81080245895,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.92845615737,0.0,2.115,0.0,3.239935895634997,0.0,2.115
71227.58002674494,0.0,666184.5105088259,-1.164153218269348e-10,0.0,666184.510508826,656503.5820526687,9680.928456157371,0.0,2.115,0.0,3.239935895634997,0.0,2.115
75277.34925103093,0.0,666184.5105088259,0.0,0.0,666184.5105088259,656503.5820526686,9680.92845615737,0.0,2.115,0.0,3.239935895634997,0.0,2.115
79327.11847531692,0.0,526281.0879068176,0.0,0.0,526281.0879068176,518633.2223688405,7647.865537977064,0.0,2.115,0.0,2.559526619135564,0.0,2.115
