cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],LCOH-wind,LCOH-el,LCOH-UG,LCOH-pipe-storage,LCOH-trans,LCOH-pipe,pv_capacity_DJ55[kW],pv_capacity_DJ56[kW],pv_capacity_DK55[kW],pv_capacity_DK56[kW],pv_capacity_DK60[kW],pv_capacity_DK61[kW],pv_capacity_DL55[kW],pv_capacity_DM54[kW],pv_capacity_DM55[kW],pv_capacity_DN54[kW],pv_capacity_DN55[kW],pv_capacity_EJ33[kW],pv_capacity_EJ34[kW],pv_capacity_EJ35[kW],pv_capacity_EJ36[kW],pv_capacity_EJ37[kW],pv_capacity_EK33[kW],pv_capacity_EK34[kW],pv_capacity_EK35[kW],pv_capacity_EK36[kW],pv_capacity_EL35[kW],pv_capacity_EL36[kW],pv_capacity_EL40[kW],pv_capacity_EM39[kW],pv_capacity_EM40[kW],pv_capacity_EM41[kW],pv_capacity_EM42[kW],pv_capacity_EM43[kW],pv_capacity_EN39[kW],pv_capacity_EN40[kW],pv_capacity_EN41[kW],wind_capacity_DJ55[kW],wind_capacity_DJ56[kW],wind_capacity_DK55[kW],wind_capacity_DK56[kW],wind_capacity_DK60[kW],wind_capacity_DK61[kW],wind_capacity_DL55[kW],wind_capacity_DM54[kW],wind_capacity_DM55[kW],wind_capacity_DN54[kW],wind_capacity_DN55[kW],wind_capacity_EJ33[kW],wind_capacity_EJ34[kW],wind_capacity_EJ35[kW],wind_capacity_EJ36[kW],wind_capacity_EJ37[kW],wind_capacity_EK33[kW],wind_capacity_EK34[kW],wind_capacity_EK35[kW],wind_capacity_EK36[kW],wind_capacity_EL35[kW],wind_capacity_EL36[kW],wind_capacity_EL40[kW],wind_capacity_EM39[kW],wind_capacity_EM40[kW],wind_capacity_EM41[kW],wind_capacity_EM42[kW],wind_capacity_EM43[kW],wind_capacity_EN39[kW],wind_capacity_EN40[kW],wind_capacity_EN41[kW]
100,DN55,2699696437.127783,3.905859480643297,5262152.400684634,15212373.38492082,26500523.09729264,2352074.061243189,66698640.00000054,414342.7087153256,815676.8571003121,708570.1362912472,2283567.049750669,0.0,0.0,0.0,465182559.0746961,1186809827.080954,756044335.4227607,44471295.48274298,0.0,0.0,2.115,15795054.99200602,230101976.8803635,1.620012211636389,1.2840350310050428,0.08742183591009425,0.0,0.01852504512846163,0.2698724067763184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414342.7087153256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290713.5379586068,0.0,524963.3191417054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,EJ33,2882162526.344757,4.117873145240845,5066536.860116632,15048699.11477327,26216625.50232446,2862561.212527765,66698640.00000054,398939.9102454041,806900.756824304,700979.2915060017,2779185.64323084,0.0,-1.252421100541547e-10,0.0,447889837.2325152,1174040601.1793623,747944904.0369039,54123213.04732892,0.0,0.0,2.115,37017108.60077563,418463520.7475615,1.6025820375497777,1.2702792852856508,0.10639561088987687,0.0,0.043415081979872365,0.4907900358933149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398939.9102454041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58100.75682430399,0.0,0.0,0.0,0.0,748800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,EJ34,2882572603.567177,4.117746668478903,5158288.605671419,15002055.58015958,26135720.98822028,2857842.69235417,66698640.00000054,406164.4571394818,804399.7630112374,698816.0692037509,2774604.55568366,0.0,-5.761077476700334e-10,1.304654017369563e-10,456000836.03049624,1170401655.1813505,745636745.8404022,54033998.720136195,0.0,2.5571218740443434e-08,2.115,43179417.76982124,410557793.4902623,1.5976148247581845,1.2663592030331305,0.10622023303798367,0.0,0.05064247406618536,0.48151789633514946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406164.4571394818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.542202594156248e-09,0.0,0.0,0.0,102399.7630112359,702000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,EJ35,2878224724.39678,4.125514070685878,5122578.638853624,15291515.95010787,26637798.08801638,2960210.671649543,66698640.00000054,403352.6487286318,819920.4262792426,712240.5905886731,2873990.943349071,0.0,2.930121188265323e-13,-3.479518911065071e-14,452844018.7276349,1192984220.236298,759960710.1581142,55969497.57632854,0.0,-6.8198570656875396e-12,2.115,11698918.4182766,402854679.2574063,1.628440345683529,1.2906864429912528,0.11002504379452843,0.0,0.013720939354908855,0.4724833890880664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403352.6487286318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677021.2065376305,0.0,0.0,0.0,142899.2197416121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,EJ36,2841049760.513835,4.0776727477714,4633200.425169943,15458280.72310733,26927056.24653622,2710690.203839993,66698640.00000054,364818.9311157435,828862.2371639322,719974.7659501663,2631738.061980575,0.0,0.0,0.0,409582213.9636452,1205994555.0735214,768213075.2688274,51251747.12969263,0.0,0.0,2.115,9167370.807272933,396036766.5345919,1.6461996368798448,1.3047019251453176,0.10075087264809483,0.0,0.010751843409220342,0.4644870800574254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364818.9311157435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674092.9341762079,154769.3029877243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,EJ37,2850043087.718909,4.084823119857534,4679306.338022331,15379343.72353301,26790137.8151117,2653841.342563396,66698640.00000054,368449.3179545142,824629.6902698665,716313.8453238424,2576544.992779996,0.0,1.164153218269348e-10,-1.791756822798925e-13,413658049.26753306,1199836199.3426557,764306872.9605398,50176890.45347354,0.0,-3.511843372685893e-11,2.115,32363250.39248237,388785828.5488705,1.6377933941441054,1.2980677895966006,0.09863791544828135,0.0,0.03795685892374961,0.4559829024222638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368449.3179545142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546376.6886889674,278253.0015808992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,EK33,2852805968.527571,4.082643853216159,5007617.582477109,15050539.21935439,26219817.21513674,2863169.98261184,66698640.00000054,394300.5970454416,806999.4219492972,701064.6314207686,2779776.682147417,0.0,0.0,1.050648279488087e-10,442681280.3029173,1174184158.9362273,748035961.72596,54134723.22667915,0.0,2.0592706277966508e-08,2.115,6938376.401104178,424342140.146019,1.602777995919762,1.2704339339710686,0.10641823764269638,0.0,0.008137593443882268,0.4976847057570532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394300.5970454416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679296.1659445324,127703.2560047649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,EK34,2854151992.906883,4.08860326286157,4825552.319765984,15221270.82736567,26515955.95982617,2870554.341346745,66698640.00000054,379964.7495878728,816153.9317622343,708982.7796744965,2786945.962472568,0.0,0.0,0.0,426586424.3623048,1187503970.714051,756484625.9126878,54274341.278959766,0.0,0.0,2.115,9841201.331170443,417272245.3869749,1.6209597275202203,1.2847828025131363,0.10669269932239489,0.0,0.011542137641842762,0.4893928625484635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379964.7495878728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181130.7689777238,635023.1627845105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,EK35,2885572776.664498,4.12174114946608,5135511.262089842,15019347.85619852,26165714.92419175,2865066.577803748,66698640.00000054,404370.9655188852,805326.9627988482,699618.0461013839,2781618.036702668,0.0,-2.372023050089892e-10,0.0,453987282.9880524,1171750730.872324,746492455.1901766,54170582.66094624,0.0,0.0,2.115,46081945.89082437,410265008.1510828,1.599456332170686,1.2678125050816862,0.10648873025021541,0.0,0.05404667015511477,0.4811745064815531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404370.9655188852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602526.9627988482,0.0,0.0,202800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,EK36,2880182709.777571,4.119234930869942,4954575.407728048,15199841.19012719,26478785.65524766,2806924.23878482,66698640.00000054,390124.0478526022,815004.8895510556,707988.9212633065,2725169.163868757,0.0,0.0,0.0,437992268.5241165,1185832114.2967858,755424178.9879481,53071269.85393288,0.0,0.0,2.115,43461483.77596045,402942029.2237462,1.6186776198478114,1.28298178247226,0.10432769709871026,0.0,0.050973291875656634,0.4725858364723418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390124.0478526022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343200.0,0.0,0.0,0.0,269004.8895510556,202800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
