cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],pv_capacity_array[kW],wind_capacity_array[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],,,,,,,,,,
100,Burnie_new3,1864536032.29913,2.77907236722994,0,13640635.1876934,23774299.2765892,2088878.09624115,66698640.0000005,0,731401.350546562,"[0.0,0,0,0,0, 0.0]","[0.0,0,731401.350546562,0,0, 0.0]",635676.451245702,2028036.98664189,0,0,0,0,1064188965.04525,678266773.479164,94331855.6645207,0,0,2.115,0,32461339.335009
100,Burnie_new4,2830750443.24951,4.10593970313924,0,17058033.264072,29701871.7292305,5660371.87474155,66698640.0000005,0,914639.853301449,[0.0],[914639.8533014487],794167.693294933,5495506.67450636,0,-2.21189111471176E-10,0,0,1330800986.55361,847376928.745694,255617301.773837,0,0,2.115,415006880.955708,9612030.13597877,,,,,,,,,,
100,Burnie_new4,2436249940.91285,3.55707789544058,0,15529028.894207,27049770.9261587,4093620.5571262,66698640.0000005,0,832655.704783218,[0.0],[832655.704783218],723255.907116542,3974388.89041379,0,0,1.16415321826935E-10,0,1211514050.45958,771714052.893351,184864221.725059,0,2.28174030780792E-08,2.115,277638046.804782,9612030.13597877,,,,,,,,,,
100,Burnie_new4,1998543235.58593,2.93624114503307,0,13640635.1876934,23774299.2765893,2088878.09624115,66698640.0000005,0,731401.350546562,[0.0],[731401.3505465621],635676.451245702,2028036.9866419,0,0,1.20470510468766E-11,0,1064188965.04525,678266773.479164,94331855.6645208,0,2.3612220051878E-09,2.115,156856512.48583,9612030.13597877,,,,,,,,,,
100,Burnie_new4,1959364184.55117,2.92563244443609,0,14462393.4452563,25199661.9359556,2199019.86244626,66698640.0000005,0,775463.455509722,[0.0],[775463.4555097217],673787.752298278,2134970.74023909,0,0,0,0,1128299327.76664,718931531.702263,99305758.7424419,0,0,2.115,0,9612030.13597877,,,,,,,,,,
100,Burnie_new4,2006826415.97449,2.98489354395062,0,14512860.4066557,25287198.290654,2300836.68559483,66698640.0000005,0,778169.458801914,[0.0],[778169.4588019139],676128.296541551,2233822.02484936,0,0,0,0,1132236562.55678,721428892.409835,103903714.881076,0,0,2.115,39653868.4961449,9612030.13597877,,,,,,,,,,
100,Burnie_new4,2000153475.39818,2.93784050384432,0,13638127.7578617,23769950.0694835,2076446.01471314,66698640.0000005,0,731266.903906794,[0.0],[731266.9039067944],635560.162285654,2015967.00457586,0,0,0,0,1063993345.18439,678142693.158793,93770434.0466577,0,0,2.115,157061941.941694,9612030.13597877,,,,,,,,,,
100,Burnie_new4,1963862376.9279,2.9224200840506,0,14295400.5996338,24910008.1790983,2089527.56850467,66698640.0000005,0,766509.415529964,"[0.0,0,0,0,0, 0.0]","[0.0,0,0,619077.358948591,0, 147432.0565813727]",666042.999441131,2028667.54223755,0,0,0,0,1115271199.5961,710667880.403687,94361185.2476739,0,0,2.115,31665545.0799391,9612030.13597877
100,Burnie_new5,2784272024.80801,4.05142803479975,0,17058033.264072,29701871.7292305,5660371.87474161,66698640.0000005,0,914639.85330145,[0.0],[914639.8533014498],794167.693294934,5495506.67450641,0,0,0,0,1330800986.55361,847376928.745695,255617301.773839,0,0,2.115,373913196.811263,4227295.83891892,,,,,,,,,,
100,Burnie_new5,2392697877.48731,3.50599836828451,0,15529028.894207,27049770.9261587,4093620.55712621,66698640.0000005,0,832655.704783217,[0.0],[832655.7047832169],723255.907116541,3974388.89041379,0,0,0,0,1211514050.45958,771714052.89335,184864221.725059,0,0,2.115,239470717.676304,4227295.83891892,,,,,,,,,,
100,Burnie_new5,2028879348.69364,2.97182049975053,0,13640635.1876934,23774299.2765893,2088878.09624112,66698640.0000005,0,731401.350546562,[0.0],[731401.3505465623],635676.451245702,2028036.98664187,0,0,0,0,1064188965.04525,678266773.479164,94331855.6645194,0,0,2.115,192577359.890599,4227295.83891892,,,,,,,,,,
100,Burnie_new5,1993495426.55019,2.96566287159461,0,14462393.4452563,25199661.9359556,2199019.8624463,66698640.0000005,0,775463.455509722,[0.0],[775463.4555097223],673787.752298279,2134970.74023913,0,-2.67104233468049E-10,2.55602137289999E-11,0,1128299327.76665,718931531.702263,99305758.7424437,0,5.00980189088399E-09,2.115,39515976.2960785,4227295.83891892,,,,,,,,,,
100,Burnie_new5,1961787813.18128,2.93207054651951,0,14512860.4066557,25287198.290654,2300836.68559481,66698640.0000005,0,778169.458801914,[0.0],[778169.4588019138],676128.296541551,2233822.02484933,0,0,0,0,1132236562.55678,721428892.409834,103903714.881075,0,0,2.115,0,4227295.83891892,,,,,,,,,,
100,Burnie_new5,2030547006.65733,2.97348720076775,0,13638127.7578617,23769950.0694834,2076446.01471313,66698640.0000005,0,731266.903906794,[0.0],[731266.9039067938],635560.162285654,2015967.00457585,0,0,0,0,1063993345.18439,678142693.158792,93770434.0466572,0,0,2.115,192840207.497901,4227295.83891892,,,,,,,,,,
100,Burnie_new5,1961787813.18128,2.93207054651951,0,14512860.4066557,25287198.290654,2300836.68559482,66698640.0000005,0,778169.458801914,"[0.0,0,0,0,0, 0.0]","[0.0,0,0,0,778169.458801914, 0.0]",676128.29654155,2233822.02484934,0,0,0,0,1132236562.55678,721428892.409834,103903714.881076,0,0,2.115,0,4227295.83891892
100,Burnie_new6,3048125414.89387,4.36088539098571,0,17058033.2640721,29701871.7292306,5660371.87474157,66698640.0000005,0,914639.85330145,[0.0],[914639.8533014504],794167.693294935,5495506.67450638,0,0,0,0,1330800986.55361,847376928.745695,255617301.773838,0,0,2.115,609966618.369427,32027264.3666162,,,,,,,,,,
100,Burnie_new6,2636929930.39109,3.79244306911963,0,15529028.894207,27049770.9261587,4093620.55712616,66698640.0000005,0,832655.704783218,[0.0],[832655.7047832182],723255.907116543,3974388.89041375,0,2.2696058074821E-10,-5.39031379276998E-11,0,1211514050.45958,771714052.893351,184864221.725057,0,-1.05650150338292E-08,2.115,455902802.052385,32027264.3666162,,,,,,,,,,
100,Burnie_new6,1962314676.67606,2.89375090431633,0,13640635.1876934,23774299.2765892,2088878.09624112,66698640.0000005,0,731401.350546561,[0.0],[731401.3505465613],635676.451245701,2028036.98664187,0,0,0,0,1064188965.04525,678266773.479163,94331855.6645195,0,0,2.115,98212719.3453279,32027264.3666162,,,,,,,,,,
100,Burnie_new6,2148333922.44727,3.14726338679182,0,14462393.4452563,25199661.9359556,2199019.86244628,66698640.0000005,0,775463.455509722,[0.0],[775463.4555097223],673787.752298279,2134970.74023911,0,0,0,0,1128299327.76665,718931531.702263,99305758.7424427,0,0,2.115,166554503.66546,32027264.3666162,,,,,,,,,,
100,Burnie_new6,2194796521.63989,3.20535207936032,0,14512860.4066557,25287198.290654,2300836.68559482,66698640.0000005,0,778169.458801913,[0.0],[778169.4588019134],676128.29654155,2233822.02484934,0,0,0,0,1132236562.55678,721428892.409834,103903714.881076,0,0,2.115,205208739.930909,32027264.3666162,,,,,,,,,,
100,Burnie_new6,1865506767.68713,2.77992169077222,0,13638127.7578617,23769950.0694834,2076446.01471316,66698640.0000005,0,731266.903906794,[0.0],[731266.9039067936],635560.162285653,2015967.00457588,0,1.07689765994935E-10,-1.13357648415721E-10,0,1063993345.18438,678142693.158792,93770434.0466586,0,-2.22180990894814E-08,2.115,0,32027264.3666162,,,,,,,,,,
100,Burnie_new6,1865506767.68712,2.77992169077222,0,13638127.7578617,23769950.0694834,2076446.01471311,66698640.0000005,0,731266.903906793,"[0.0,0,0,0,0, 0.0]","[0.0,0,0,0,0, 731266.9039067935]",635560.162285653,2015967.00457584,0,0,0,0,1063993345.18438,678142693.158792,93770434.0466566,0,0,2.115,0,32027264.3666162
100,User,2755295558.08913,4.01744332541429,0,17058033.264072,29701871.7292305,5660371.87474159,66698640.0000005,0,914639.85330145,[0.0],[914639.8533014496],794167.693294934,5495506.6745064,0,-6.86493379740704E-13,3.34445492694189E-12,0,1330800986.55361,847376928.745694,255617301.773839,0,6.55513165680611E-10,2.115,349164025.931299,0,,,,,,,,,,
100,User,2365561649.19048,3.47417196096465,0,15529028.894207,27049770.9261587,4093620.55712615,66698640.0000005,0,832655.704783219,[0.0],[832655.7047832189],723255.907116543,3974388.89041374,0,0,0,0,1211514050.45958,771714052.893351,184864221.725057,0,0,2.115,216561785.218383,0,,,,,,,,,,
100,User,2053485337.03581,3.00067934479412,0,13640635.1876934,23774299.2765892,2088878.09624115,66698640.0000005,0,731401.350546562,[0.0],[731401.3505465619],635676.451245702,2028036.9866419,0,0,0,0,1064188965.04525,678266773.479164,94331855.6645208,0,0,2.115,221410644.071692,0,,,,,,,,,,
100,User,2019263030.5589,2.9958841039585,0,14462393.4452563,25199661.9359556,2199019.86244628,66698640.0000005,0,775463.455509723,[0.0],[775463.4555097228],673787.752298279,2134970.74023911,0,0,0,0,1128299327.76665,718931531.702264,99305758.7424427,0,0,2.115,69510876.143712,0,,,,,,,,,,
100,User,1988237534.32201,2.96309179196723,0,14512860.4066557,25287198.290654,2300836.68559483,66698640.0000005,0,778169.458801914,[0.0],[778169.4588019138],676128.29654155,2233822.02484935,0,0,0,0,1132236562.55678,721428892.409834,103903714.881076,0,0,2.115,30677016.9796463,0,,,,,,,,,,
100,User,2051889275.43739,2.99851823057389,0,13638127.7578617,23769950.0694834,2076446.01471307,66698640.0000005,0,731266.903906794,[0.0],[731266.9039067941],635560.162285654,2015967.0045758,0,0,0,0,1063993345.18439,678142693.158793,93770434.0466549,0,0,2.115,218409772.116886,0,,,,,,,,,,
100,User,1988237534.32201,2.96309179196723,0,14512860.4066557,25287198.290654,2300836.68559482,66698640.0000005,0,778169.458801914,"[0.0,0,0,0,0, 0.0]","[0.0,0,0,0,778169.458801914, 5.908549805570522e-12]",676128.296541551,2233822.02484934,0,0,0,0,1132236562.55679,721428892.409835,103903714.881076,0,0,2.115,30677016.9796463,0
