pipe_storage_level,ug_storage_level,wind_output,curtail_p,bat_pin,el_pin_pvwind,el_pin,comp1_pin,comp2_pin,pipe_storage_hout,ug_storage_hout,comp1_hflow,comp2_hflow,LOAD
0.0,134801.5218645403,73812.76570105265,0.0,0.0,73812.76570105265,72527.13380901645,1069.499105153262,216.132786882937,0.2115,0.0,0.357931427427464,0.1464314274274641,0.2115
0.0,135328.6750032792,73812.76570105265,1.455191522836685e-11,0.0,73812.76570105263,72527.13380901644,1069.499105153262,216.1327868829369,0.2115,0.0,0.357931427427464,0.146431427427464,0.2115
0.0,135855.8281420181,73812.76570105265,1.455191522836685e-11,0.0,73812.76570105263,72527.13380901644,1069.499105153262,216.1327868829369,0.2115,0.0,0.357931427427464,0.146431427427464,0.2115
0.0,136382.9812807569,73812.76570105265,0.0,0.0,73812.76570105265,72527.13380901644,1069.499105153262,216.1327868829369,0.2115,0.0,0.357931427427464,0.146431427427464,0.2115
0.0,136910.1344194958,73812.76570105265,0.0,0.0,73812.76570105265,72527.13380901645,1069.499105153262,216.132786882937,0.2115,0.0,0.357931427427464,0.1464314274274641,0.2115
0.0,137437.2875582347,57821.70677982674,0.0,0.0,57821.70677982674,56880.77139975101,838.7748269861761,102.1605530895568,0.2115,0.0,0.2807144668628434,0.06921446686284338,0.2115
0.0,137686.4596389409,73812.76570105265,4.522783624993797e-11,-3.067592102157112e-11,73812.76570105263,72527.13380901644,1069.499105153262,216.1327868829369,0.2115,0.0,0.357931427427464,0.146431427427464,0.2115
0.0,138213.6127776798,73812.76570105265,0.0,0.0,73812.76570105265,72527.13380901644,1069.499105153262,216.1327868829369,0.2115,0.0,0.357931427427464,0.146431427427464,0.2115
0.0,138740.7659164187,73812.76570105265,0.0,0.0,73812.76570105265,72527.13380901645,1069.499105153262,216.132786882937,0.2115,0.0,0.357931427427464,0.1464314274274641,0.2115
0.0,139267.9190551576,73812.76570105265,1.455191522836685e-11,0.0,73812.76570105263,72527.13380901644,1069.499105153262,216.1327868829369,0.2115,0.0,0.357931427427464,0.146431427427464,0.2115
0.0,139795.0721938965,73812.76570105265,1.455191522836685e-11,0.0,73812.76570105263,72527.13380901644,1069.499105153262,216.1327868829369,0.2115,0.0,0.357931427427464,0.146431427427464,0.2115
0.0,140322.2253326353,73812.76570105265,0.0,1.455191522836686e-11,73812.76570105263,72527.13380901644,1069.499105153262,216.1327868829369,0.2115,0.0,0.357931427427464,0.146431427427464,0.2115
0.0,140849.3784713742,73812.76570105265,0.0,0.0,73812.76570105265,72527.13380901645,1069.499105153262,216.132786882937,0.2115,0.0,0.357931427427464,0.1464314274274641,0.2115
0.0,141376.5316101131,73812.76570105265,0.0,0.0,73812.76570105265,72527.13380901645,1069.499105153263,216.132786882937,0.2115,0.0,0.3579314274274641,0.1464314274274641,0.2115
0.0,141903.684748852,73812.76570105265,0.0,0.0,73812.76570105265,72527.13380901645,1069.499105153263,216.132786882937,0.2115,0.0,0.3579314274274641,0.1464314274274641,0.2115
0.0,142430.8378875909,48112.7785665821,0.0,0.0,48112.7785665821,47381.12474230989,698.6912049563971,32.96261931581059,0.2115,0.0,0.2338323979104408,0.02233239791044078,0.2115
0.0,142511.2345200685,21665.58609617582,0.0,0.0,21665.58609617582,21350.74390808952,314.8421880862947,0.0,0.1053688715148242,0.1061311284851758,0.1053688715148242,0.0,0.2115
0.0,142129.1624575218,19681.23444147516,0.0,0.0,19681.23444147516,19395.22865846581,286.0057830093562,0.0,0.0957181335372678,0.1157818664627322,0.0957181335372678,0.0,0.2115
0.0,141712.347738256,28617.62332681384,0.0,0.0,28617.62332681384,28201.75481044659,415.8685163672457,0.0,0.1391795570171505,0.07232044298284951,0.1391795570171505,0.0,0.2115
0.0,141451.9941435177,73812.76570105265,0.0,0.0,73812.76570105265,72527.13380901645,1069.499105153263,216.132786882937,0.2115,0.0,0.3579314274274641,0.1464314274274641,0.2115
0.0,141979.1472822566,73812.76570105265,1.455191522836685e-11,0.0,73812.76570105263,72527.13380901644,1069.499105153262,216.1327868829369,0.2115,0.0,0.357931427427464,0.146431427427464,0.2115
0.0,142506.3004209955,73812.76570105265,0.0,0.0,73812.76570105265,72527.13380901645,1069.499105153263,216.132786882937,0.2115,0.0,0.3579314274274641,0.1464314274274641,0.2115
0.0,143033.4535597343,35637.44836025279,0.0,0.0,35637.44836025279,35119.56842985318,517.8799303996117,0.0,0.1733199231591739,0.03818007684082608,0.1733199231591739,0.0,0.2115
0.0,142896.0052831074,13090.79304349233,0.0,0.0,13090.79304349233,12900.55891332377,190.2341301685561,0.0,0.06366604088639762,0.1478339591136024,0.06366604088639762,0.0,0.2115
0.0,142363.8030302984,7233.270895747739,0.0,0.0,7233.270895747739,7128.157707222454,105.1131885252854,0.0,0.03517844328155469,0.1763215567184453,0.03517844328155469,0.0,0.2115
0.0,141729.045426112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2115,0.0,0.0,0.2115
0.0,140967.645426112,331.3249869608192,0.0,0.0,331.3249869608192,326.510204503546,4.814782457273103,0.0,0.001611372977668374,0.2098886270223316,0.001611372977668374,0.0,0.2115
0.0,140212.0463688316,23550.53790639057,0.0,0.0,23550.53790639057,23208.30378209121,342.2341242993652,0.0,0.1145361861778331,0.09696381382216691,0.1145361861778331,0.0,0.2115
0.0,139862.9766390718,26588.71213139061,0.0,0.0,26588.71213139061,26202.32755500838,386.3845763822302,0.0,0.1293121072229686,0.0821878927770314,0.1293121072229686,0.0,0.2115
