cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],LCOH-wind,LCOH-el,LCOH-UG,LCOH-pipe-storage,LCOH-trans,LCOH-pipe,pv_capacity_KF249[kW],pv_capacity_KF250[kW],pv_capacity_KF251[kW],pv_capacity_KG249[kW],pv_capacity_KG250[kW],pv_capacity_KG251[kW],pv_capacity_KG252[kW],pv_capacity_KG253[kW],pv_capacity_KH248[kW],pv_capacity_KH249[kW],pv_capacity_KH250[kW],pv_capacity_KH251[kW],pv_capacity_KH252[kW],pv_capacity_KH253[kW],pv_capacity_KH254[kW],pv_capacity_KI248[kW],pv_capacity_KI249[kW],pv_capacity_KI250[kW],pv_capacity_KI251[kW],pv_capacity_KI252[kW],pv_capacity_KI253[kW],pv_capacity_KI254[kW],pv_capacity_KI255[kW],pv_capacity_KI256[kW],pv_capacity_KJ248[kW],pv_capacity_KJ249[kW],pv_capacity_KJ250[kW],pv_capacity_KJ251[kW],pv_capacity_KJ252[kW],pv_capacity_KJ253[kW],pv_capacity_KJ254[kW],pv_capacity_KJ255[kW],pv_capacity_KJ256[kW],pv_capacity_KJ257[kW],pv_capacity_KK248[kW],pv_capacity_KK249[kW],pv_capacity_KK250[kW],pv_capacity_KK251[kW],pv_capacity_KK252[kW],pv_capacity_KK253[kW],pv_capacity_KK254[kW],pv_capacity_KK255[kW],pv_capacity_KK256[kW],pv_capacity_KK257[kW],pv_capacity_KK258[kW],pv_capacity_KK259[kW],pv_capacity_KL254[kW],pv_capacity_KL255[kW],pv_capacity_KL256[kW],pv_capacity_KL257[kW],pv_capacity_KL258[kW],pv_capacity_KL259[kW],wind_capacity_KF249[kW],wind_capacity_KF250[kW],wind_capacity_KF251[kW],wind_capacity_KG249[kW],wind_capacity_KG250[kW],wind_capacity_KG251[kW],wind_capacity_KG252[kW],wind_capacity_KG253[kW],wind_capacity_KH248[kW],wind_capacity_KH249[kW],wind_capacity_KH250[kW],wind_capacity_KH251[kW],wind_capacity_KH252[kW],wind_capacity_KH253[kW],wind_capacity_KH254[kW],wind_capacity_KI248[kW],wind_capacity_KI249[kW],wind_capacity_KI250[kW],wind_capacity_KI251[kW],wind_capacity_KI252[kW],wind_capacity_KI253[kW],wind_capacity_KI254[kW],wind_capacity_KI255[kW],wind_capacity_KI256[kW],wind_capacity_KJ248[kW],wind_capacity_KJ249[kW],wind_capacity_KJ250[kW],wind_capacity_KJ251[kW],wind_capacity_KJ252[kW],wind_capacity_KJ253[kW],wind_capacity_KJ254[kW],wind_capacity_KJ255[kW],wind_capacity_KJ256[kW],wind_capacity_KJ257[kW],wind_capacity_KK248[kW],wind_capacity_KK249[kW],wind_capacity_KK250[kW],wind_capacity_KK251[kW],wind_capacity_KK252[kW],wind_capacity_KK253[kW],wind_capacity_KK254[kW],wind_capacity_KK255[kW],wind_capacity_KK256[kW],wind_capacity_KK257[kW],wind_capacity_KK258[kW],wind_capacity_KK259[kW],wind_capacity_KL254[kW],wind_capacity_KL255[kW],wind_capacity_KL256[kW],wind_capacity_KL257[kW],wind_capacity_KL258[kW],wind_capacity_KL259[kW]
100,KF249,2414188082.955537,3.430017043487723,0.0,14539480.03170639,25383981.0689548,0.0,66698640.00000054,0.0,779596.7845418977,678716.0713624278,0.0,872968.6898893287,0.0,0.0,0.0,1134313321.5084612,724190048.1437105,0.0,450451843.9828936,0.0,2.115,75910542.69171268,29322326.62875915,1.5483537385136559,1.2299350016315966,0.0,0.5283071658949676,0.08903079032024268,0.03439034712726047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343252.0,0.0,0.0,171196.7845418977,0.0,0.0,0.0,0.0,80548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22464.0,162136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,KJ256,2515390829.690616,3.57017183708628,0.0,15211157.57572742,26143678.89628521,0.0,66698640.00000054,0.0,815611.6662588429,699028.847494257,0.0,791092.5658798779,0.0,0.0,0.0,1186714974.4066164,745863780.2763722,0.0,408203763.994017,0.0,2.115,171745680.0929656,2862630.920644666,1.619882736393408,1.2667447891097285,0.0,0.47875700042983316,0.20142990802822455,0.003357403125086371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15997.34498842436,0.0,19797.7673801265,0.0,0.0,0.0,0.0,16455.42341610078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349438.8828532585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329915.6892819087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84006.558339024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,User,2419590825.428318,3.44828941827375,0.0,15262015.01706638,25457549.81840141,0.0,66698640.00000054,0.0,818338.6068132109,680683.1502246368,0.0,749735.3361118217,0.0,0.0,0.0,1190682672.9132218,726288921.2896874,0.0,386863433.4337,0.0,2.115,115755797.7917086,0.0,1.6252987010122733,1.233499642643771,0.0,0.4537282438420125,0.13576283077569318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118230.5329653171,32706.07332797463,37533.02900616913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284192.9588968969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345676.0126168531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
