,pv_pout,wind_pout,curtail_p,bat_pin,bat_pout,el_pin,comp1_hflow,comp1_pin,comp2_hflow,comp2_pin,res_hout,pipe_storage_hout,ug_storage_hout,ug_storage_level,pipe_storage_level,reserve_h_level,bat_e,LOAD,t,time
2019,-0.0,1548326.838037104,0.0,0.0,0.0,1522172.678520461,7.512132508208702,22446.2519345276,2.512132508208702,3707.907582116044,0.0,5.0,0.0,3147402.895062194,0.0,-0.0,0.0,5.0,2019,2021-03-26 03:00:00
2020,-0.0,1637522.504667551,0.0,0.0,0.0,1609445.681034605,7.942836835337168,23733.19646398746,2.942836835337168,4343.62716895766,0.0,5.0,0.0,3156446.572091746,0.0,-0.0,0.0,5.0,2020,2021-03-26 04:00:00
2021,-0.0,1765215.516009056,0.0,0.0,0.0,1734386.195757346,8.559435540257628,25575.59339428979,3.559435540257629,5253.726857420262,0.0,5.0,0.0,3167040.78469896,0.0,-0.0,0.0,5.0,2021,2021-03-26 05:00:00
2022,-0.0,1376722.105431963,0.0,0.0,0.0,1354266.985050644,6.68349470907678,19970.28219072142,1.68349470907678,2484.838190597327,0.0,5.0,0.0,3179854.752643887,0.0,-0.0,0.0,5.0,2022,2021-03-26 06:00:00
2023,-0.0,1463712.836644083,0.0,0.0,0.0,1439382.580803042,7.103551935717208,21225.41318392302,2.103551935717209,3104.8426571186,0.0,5.0,0.0,3185915.333596563,0.0,-0.0,0.0,5.0,2023,2021-03-26 07:00:00
2024,-0.0,180049.0564222542,0.0,0.0,0.0,177432.6010614245,0.8756544045614579,2616.455360829636,0.0,0.0,0.0,0.8756544045614578,4.124345595438543,3193488.120565145,0.0,-0.0,0.0,5.0,2024,2021-03-26 08:00:00
2025,-0.0,72953.7743873672,0.0,0.0,0.0,71893.61723974557,0.3548049356163416,1060.157147621629,0.0,0.0,0.0,0.3548049356163416,4.645195064383659,3178640.476421567,0.0,-0.0,0.0,5.0,2025,2021-03-26 09:00:00
2026,-0.0,72899.8093595133,0.0,0.0,-4.406889368999057e-25,71840.43642642316,0.3545424809538649,1059.372933090148,0.0,0.0,0.0,0.354542480953865,4.645457519046135,3161917.774189785,0.0,-0.0,0.0,5.0,2026,2021-03-26 10:00:00
2027,-0.0,133969.2471988012,0.0,0.0,0.0,132022.4191399107,0.65154888182415,1946.82805889056,0.0,0.0,0.0,0.65154888182415,4.348451118175849,3145194.127121219,0.0,-0.0,0.0,5.0,2027,2021-03-26 11:00:00
2028,-0.0,123986.954460482,0.0,0.0,0.0,122185.188107926,0.60300078733466,1801.766352555965,0.0,0.0,0.0,0.6030007873346599,4.39699921266534,3129539.703095786,0.0,-0.0,0.0,5.0,2028,2021-03-26 12:00:00
