cf,capex[USD],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50.0,2602167785.94,0.0,1091274.7,950668.32,0.0,0.0,0.0,0.0,0.0,1587804688.5,1014363097.4399999,0.0,0.0,0.0,5.0
60.0,3140327569.912572,3.6969637e-11,1312022.0,1142047.9,205327.23,0.0,0.0,0.0,4.1505811459900003e-08,1908992010.0,1218565109.3,12770450.61257184,0.0,0.0,5.0
70.0,3677191115.2315025,0.0,1529673.1,1330304.2,984621.73,0.0,0.0,0.0,0.0,2225674360.5,1419434581.3999999,32082173.331503097,0.0,0.0,5.0
80.0,4242270152.914401,0.0,1749150.8,1520140.3,2923140.5,0.0,0.0,0.0,0.0,2545014414.0,1621989700.1000001,75266038.81440066,0.0,0.0,5.0
90.0,4848233171.924779,90999.099,1930658.6,1677134.6,6488692.3,0.0,0.0,0.0,102164688.4473,2809108263.0,1789502618.2,147457602.2774792,0.0,0.0,5.0
100.0,5455900499.251092,1.0963407e-10,2188279.5,1899962.5,13833804.0,0.0,0.0,0.0,1.23086170389e-07,3183946672.5,2027259987.5,244693839.25109196,0.0,0.0,5.0
