,pv_pout,wind_pout,curtail_p,bat_pin,bat_pout,el_pin,comp1_hflow,comp1_pin,comp2_hflow,comp2_pin,res_hout,pipe_storage_hout,ug_storage_hout,ug_storage_level,pipe_storage_level,reserve_h_level,bat_e,LOAD,t,time
0,-0.0,1787392.844229406,0.0,0.0,0.0,1756085.478857619,8.666524500848375,25895.57520853495,3.666524500848375,5411.790163252202,0.0,5.0,0.0,2357936.675099516,0.0,-0.0,0.0,5.0,0,2021-01-01 00:00:00
1,-0.0,1787392.844229406,0.0,0.0,0.0,1756085.478857619,8.666524500848375,25895.57520853495,3.666524500848375,5411.790163252202,0.0,5.0,0.0,2371136.16330257,0.0,-0.0,0.0,5.0,1,2021-01-01 01:00:00
2,-0.0,1787392.844229406,0.0,0.0,0.0,1756085.478857619,8.666524500848375,25895.57520853495,3.666524500848375,5411.790163252202,0.0,5.0,0.0,2384335.651505624,0.0,-0.0,0.0,5.0,2,2021-01-01 02:00:00
3,-0.0,1787392.844229406,0.0,0.0,0.0,1756085.478857619,8.666524500848375,25895.57520853495,3.666524500848375,5411.790163252202,0.0,5.0,0.0,2397535.139708678,0.0,-0.0,0.0,5.0,3,2021-01-01 03:00:00
4,-0.0,1787392.844229406,0.0,0.0,0.0,1756085.478857619,8.666524500848375,25895.57520853494,3.666524500848375,5411.790163252201,0.0,5.0,0.0,2410734.627911733,0.0,-0.0,0.0,5.0,4,2021-01-01 04:00:00
5,-0.0,1787392.844229407,0.0,0.0,0.0,1756085.478857619,8.666524500848375,25895.57520853495,3.666524500848403,5411.790163252243,0.0,5.0,0.0,2423934.116114787,0.0,-0.0,0.0,5.0,5,2021-01-01 05:00:00
6,-0.0,1787392.844229406,0.0,0.0,-5.349809480035584e-11,1756085.478857619,8.666524500848375,25895.57520853494,3.666524500848344,5411.790163252155,0.0,5.0,0.0,2437133.604317841,-1.060001437408302e-10,-0.0,0.0,5.0,6,2021-01-01 06:00:00
7,-0.0,1787392.844229406,0.0,0.0,-1.863474868639487e-10,1756085.478857619,8.666524500848375,25895.57520853495,3.666524500848374,5411.790163252201,0.0,5.0,0.0,2450333.092520895,0.0,-0.0,5.631378400037457e-11,5.0,7,2021-01-01 07:00:00
8,-0.0,1787392.844229406,0.0,0.0,-1.863474868639487e-10,1756085.478857619,8.666524500848375,25895.57520853495,3.666524500848374,5411.790163252201,0.0,5.0,0.0,2463532.580723949,0.0,-0.0,2.524690333308466e-10,5.0,8,2021-01-01 08:00:00
9,-0.0,821737.7340329112,0.0,0.0,4.261930685282529e-10,809796.3212750236,3.996456746281136,11941.41275788803,0.0,0.0,0.0,3.996456746281136,1.003543253718865,2476732.068927004,0.0,-0.0,4.486242826613186e-10,5.0,9,2021-01-01 09:00:00
