cf,capex[USD],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s]
50.0,2602217752.707063,-0.0,1091295.64797696,950686.5837868659,0.0,0.0,1.70328697031165e-11,0.0,-0.0,1587835167.8064768,1014382584.9005859,0.0,0.0,0.0,5.0
60.0,3140340440.240453,-0.0,1312027.690219061,1142052.81978972,205335.1383837982,0.0,0.0,0.0,-0.0,1909000289.2687337,1218570358.7156312,12770567.170427702,0.0,0.0,5.0
70.0,3677202011.98305,0.0,1529678.770936188,1330309.051954851,984642.1680500533,0.0,0.0,0.0,0.0,2225682611.7121534,1419439758.435826,32082570.388352275,0.0,0.0,5.0
80.0,4242289995.038914,-0.0,1749156.478875053,1520145.216354648,2923198.929137976,0.0,-5.927641388988952e-11,-5.497634760368656e-12,-0.0,2545022676.763202,1621994945.8504093,75267653.74073374,0.0,-1.0775364130322565e-09,5.0
90.0,4848280914.71389,90999.36001924238,1930664.143763915,1677139.378701482,6488864.362926043,0.0,0.0,0.0,102164981.49360342,2809116329.176496,1789507717.0744812,147461987.84512445,0.0,0.0,5.0
100.0,5455943192.778003,4.253441724529771e-10,2188285.145214862,1899967.397289613,13833979.2867361,0.0,0.0,0.0,4.775339024129574e-07,3183954886.2876244,2027265212.9080172,244696433.74102065,0.0,0.0,5.0
