pipe_storage_level,ug_storage_level,wind_output,curtail_p,bat_pin,el_pin_pvwind,el_pin,comp1_pin,comp2_pin,pipe_storage_hout,ug_storage_hout,comp1_hflow,comp2_hflow,LOAD
0.0,12819903.9924289,7475645.772656552,1.862645149230957e-09,0.0,7475645.772656551,7345049.267291847,108311.5133070194,22284.99205768427,21.1506,0.0,36.2488331014121,15.0982331014121,21.1506
0.0,12874257.63159398,7469155.448069053,0.0,0.0,7469155.448069053,7338698.845399838,108217.8687608453,22238.73390836938,21.1506,0.0,36.21749289184917,15.06689289184917,21.1506
0.0,12928498.44600464,7310587.862106552,0.0,0.0,7310587.862106552,7183549.275346136,105930.0032735052,21108.5834869122,21.1506,0.0,35.45180832446626,14.30120832446626,21.1506
0.0,12979982.79597272,6783196.057069053,0.0,0.0,6783196.057069053,6667525.705303484,98320.62017211482,17349.73159345426,21.1506,0.0,32.9051607001723,11.75456070017229,21.1506
0.0,13022299.21449334,6804388.393819053,0.0,0.0,6804388.393819053,6688261.22899351,98626.39020419362,17500.77462134921,21.1506,0.0,33.00749337489746,11.85689337489747,21.1506
0.0,13064984.03064297,7345238.228344053,0.0,0.0,7345238.228344053,7217452.732924299,106429.950198706,21355.54522104755,21.1506,0.0,35.61912657252545,14.46852657252544,21.1506
0.0,13117070.72630406,7475645.772656552,1.862645149230957e-09,0.0,7475645.772656551,7345049.267291847,108311.5133070194,22284.99205768427,21.1506,0.0,36.2488331014121,15.0982331014121,21.1506
0.0,13171424.36546914,7475645.772656552,1.862645149230957e-09,0.0,7475645.772656551,7345049.267291847,108311.5133070194,22284.99205768427,21.1506,0.0,36.2488331014121,15.0982331014121,21.1506
0.0,13225778.00463423,7475645.772656552,1.862645149230957e-09,0.0,7475645.772656551,7345049.267291847,108311.5133070194,22284.99205768427,21.1506,0.0,36.2488331014121,15.0982331014121,21.1506
0.0,13280131.64379931,7475645.772656552,1.862645149230957e-09,0.0,7475645.772656551,7345049.267291848,108311.5133070194,22284.99205768427,21.1506,0.0,36.2488331014121,15.0982331014121,21.1506
0.0,13334485.2829644,7475645.772656552,1.862645149230957e-09,0.0,7475645.772656551,7345049.267291848,108311.5133070194,22284.99205768427,21.1506,0.0,36.2488331014121,15.0982331014121,21.1506
0.0,13388838.92212948,7475645.772656552,1.862645149230957e-09,0.0,7475645.772656551,7345049.267291847,108311.5133070194,22284.99205768427,21.1506,0.0,36.2488331014121,15.0982331014121,21.1506
0.0,13443192.56129456,7475645.772656552,0.0,0.0,7475645.772656552,7345049.267291849,108311.5133070191,22284.99205768428,21.1506,0.0,36.24883310141212,15.09823310141211,21.1506
0.0,13497546.20045964,7475645.772656552,1.862645149230957e-09,0.0,7475645.772656551,7345049.267291848,108311.5133070194,22284.99205768427,21.1506,0.0,36.2488331014121,15.0982331014121,21.1506
0.0,13551899.83962473,6618156.910056184,0.0,0.0,6618156.910056184,6506044.07243602,95939.38086511001,16173.45675505425,21.1506,0.0,32.10822652781453,10.95762652781453,21.1506
0.0,13591347.29512486,4878243.746757778,0.0,0.0,4878243.746757778,4803635.742398343,70835.33924704156,3772.665112393734,21.1506,0.0,23.70660617370869,2.556006173708687,21.1506
0.0,13600548.91735021,4792474.301889503,0.0,0.0,4792474.301889503,4719715.107457197,69597.82937646275,3161.365055843256,21.1506,0.0,23.2924462437961,2.141846243796098,21.1506
