pipe_storage_level,ug_storage_level,wind_output,curtail_p,bat_pin,el_pin_pvwind,el_pin,comp1_pin,comp2_pin,pipe_storage_hout,ug_storage_hout,comp1_hflow,comp2_hflow,LOAD
3.914540285200953e-12,4494024.48560873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.114999999999999,0.0,0.0,2.115
0.0,4486410.48560873,0.0,0.0,0.0,0.0,-2.235817644894562e-10,0.0,0.0,-2.220446049250313e-15,2.115000000000002,0.0,0.0,2.115
3.914540285200953e-12,4478796.48560873,0.0,0.0,0.0,0.0,-2.235817644894562e-10,0.0,0.0,0.0,2.115,0.0,0.0,2.115
3.914540285200953e-12,4471182.48560873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,2.115
3.914540285200953e-12,4463568.48560873,0.0,0.0,0.0,0.0,1.101663480263697e-09,1.624534218358395e-11,0.0,6.661338147750939e-15,2.114999999999994,5.436861507223545e-15,0.0,2.115
0.0,4455954.48560873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,4448340.48560873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,4440726.48560873,0.0,0.0,0.0,620090.2280988601,609778.2741406349,8991.908052682968,1320.045905542186,2.115,0.0,3.009340044405277,0.8943400444052751,2.115
3.914540285200953e-12,4443946.109768588,0.0,-2.328306436538696e-10,0.0,1326267.221355447,1300733.214398644,19180.86288237594,6353.14407442667,2.115,0.0,6.419298153405602,4.304298153405603,2.115
0.0,4459441.583120848,0.0,-2.328306436538696e-10,0.0,1326267.221355447,1300733.214398644,19180.86288237594,6353.144074426669,2.115,0.0,6.419298153405602,4.304298153405602,2.115
0.0,4474937.056473108,0.0,-2.328306436538696e-10,0.0,1326267.221355447,1300733.214398644,19180.86288237594,6353.144074426669,2.115,0.0,6.419298153405602,4.304298153405602,2.115
0.0,4490432.529825368,0.0,4.656612873077393e-10,0.0,1326267.221355446,1300733.214398644,19180.86288237594,6353.144074426669,2.115,0.0,6.419298153405602,4.304298153405602,2.115
0.0,4505928.003177628,0.0,-4.656612873077393e-10,0.0,1326267.221355447,1300733.214398644,19180.86288237594,6353.144074426669,2.115,0.0,6.419298153405602,4.304298153405602,2.115
0.0,4521423.476529888,0.0,-2.328306436538696e-10,0.0,1326267.221355447,1300733.214398644,19180.86288237594,6353.144074426669,2.115,0.0,6.419298153405602,4.304298153405602,2.115
0.0,4536918.949882148,0.0,-2.328306436538696e-10,0.0,1326267.221355447,1300733.214398644,19180.86288237594,6353.144074426669,2.115,0.0,6.419298153405602,4.304298153405602,2.115
0.0,4552414.423234408,0.0,0.0,0.0,659349.1033770782,648190.901685132,9558.348067996487,1599.853623950039,2.115,0.0,3.198911669342867,1.083911669342867,2.115
0.0,4556316.505244042,0.0,0.0,0.0,626848.8926175521,616391.2517416197,9089.42429598683,1368.216579945292,2.115,0.0,3.041976002672969,0.9269760026729672,2.115
3.914540285200953e-12,4559653.618853664,0.0,0.0,0.0,694314.8473666371,682402.9388657357,10062.84536753793,1849.063133363528,2.115,0.0,3.367752800380816,1.252752800381794,2.115
3.914540285200953e-12,4564163.528935038,0.0,0.0,0.0,24638.09080921093,24280.05247199718,358.0383372139687,0.0,0.1198254140608996,1.995174585939101,0.1198254140608998,0.0,2.115
3.914540285200953e-12,4556980.900425658,0.0,0.0,0.0,0.0,-2.235817644894562e-10,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,4549366.900425658,0.0,0.0,0.0,0.0,-2.235817644894562e-10,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,4541752.900425658,0.0,0.0,0.0,0.0,-2.235817644894562e-10,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,4534138.900425658,0.0,0.0,0.0,0.0,-2.235817644894562e-10,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,4526524.900425658,0.0,0.0,0.0,0.0,-2.235817644894562e-10,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,4518910.900425658,0.0,0.0,0.0,0.0,-2.235817644894562e-10,0.0,0.0,0.0,2.115,0.0,0.0,2.115
-1.957270142600476e-11,4511296.900425658,0.0,0.0,0.0,0.0,1.101663480263697e-09,1.624534218358395e-11,0.0,0.0,2.115,5.436861507223545e-15,0.0,2.115
0.0,4503682.900425658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.174744602889418e-15,2.115000000000002,0.0,0.0,2.115
7.829080570401905e-12,4496068.900425658,0.0,0.0,0.0,0.0,-2.235817644894562e-10,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,4488454.900425658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,4480840.900425658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,4473226.900425658,0.0,0.0,0.0,0.0,-2.235817644894562e-10,0.0,0.0,0.0,2.115,0.0,0.0,2.115
0.0,4465612.900425658,0.0,0.0,-2.328306436538697e-10,1326267.221355447,1300733.214398644,19180.86288237594,6353.144074426669,2.115,0.0,6.419298153405602,4.304298153405602,2.115
0.0,4481108.373777918,0.0,0.0,0.0,961713.1331329439,944037.3001251115,13920.95612621025,3754.876881621927,2.115,0.0,4.658954526844125,2.543954526844124,2.115
